,Gia,Nha_ve_sinh,So_phong,Huong,Chieu_dai,Rong,Giay_to,Dien_tich,Dien_tich_su_dung,Hem_rong,Duong_mat_tien,Duong,Phuong,Quan,So_lau,Tang_thuong,Gac_lung,Tang_ham,Gan_cho,Gan_truong,Gan_congvien,Gan_mat_tien,Di_chuyen,Thoang,an_ninh,2_duong_chinh,2_hem,binned
1805,4500,3,4,T.Nam,9.62,5.31,Sổ hồng,51.0,168.0,3.25,0,đào tông nguyên,Thị trấn Nhà Bè,Huyện Nhà Bè,2,0,1,0,1,1,0,1,1,0,0,0,0,"(4000.0, 10000.0]"
1806,2300,1,2,Đ.Bắc,5.4,4.15,Sổ hồng,22.4,162.5,4.0,0,số 6,Phường Linh Tây,Quận Thủ Đức,1,0,0,0,1,1,1,0,1,0,1,0,0,"(900.0, 4000.0]"
1807,12900,3,4,T.Nam,15.0,3.88,Sổ hồng,47.0,262.0,22.0,1,huỳnh tấn phát,Thị trấn Nhà Bè,Huyện Nhà Bè,2,1,0,0,1,1,1,0,1,1,0,0,0,"(10000.0, 20000.0]"
1808,3700,2,3,Đông,16.0,4.36,Sổ hồng,79.8,165.8,6.0,0,âu dương lân,Phường 3,Quận 8,1,0,0,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
1809,5900,3,3,T.Bắc,8.48,3.49,Sổ hồng,29.4,126.1,5.0,0,hoàng hoa thám,Phường 5,Quận Bình Thạnh,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1810,2200,3,2,Đ.Nam,5.1,2.6,Sổ hồng,13.5,29.3,1.0,0,trần xuân soạn,Phường Tân Hưng,Quận 7,2,1,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
1812,6500,4,5,Đ.Nam,10.0,3.6,Sổ hồng,39.8,119.7,3.0,0,phan chu trinh,Phường 24,Quận Bình Thạnh,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1814,6700,2,2,T.Bắc,16.0,3.45,Sổ hồng,51.0,102.7,4.5,0,ngô tất tố,Phường 22,Quận Bình Thạnh,1,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
1815,16000,2,2,Đ.Nam,37.69,9.32,Sổ hồng,304.8,304.8,10.0,1,thạnh xuân 25,Phường Thạnh Xuân,Quận 12,1,0,0,0,1,1,0,1,1,0,1,0,0,"(10000.0, 20000.0]"
1816,8600,3,5,T.Bắc,22.59,3.76,Sổ hồng,96.3,250.2,2.0,0,tôn đản,Phường 15,Quận 4,2,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
1818,2200,1,1,Đông,6.16,3.7,Sổ hồng,22.8,45.6,2.0,0,hậu giang,Phường 12,Quận 6,1,0,0,0,1,1,0,1,1,1,0,0,0,"(900.0, 4000.0]"
1819,3100,2,2,Tây,8.22,3.43,Sổ hồng,32.9,65.8,3.15,0,bùi minh trực,Phường 5,Quận 8,1,0,0,0,1,1,0,1,0,0,0,0,1,"(900.0, 4000.0]"
1820,22000,4,3,T.Nam,12.0,6.0,Sổ hồng,72.0,288.0,12.0,0,xô viết nghệ tĩnh,Phường 26,Quận Bình Thạnh,3,0,0,0,1,1,1,1,1,0,1,0,0,"(20000.0, 50000.0]"
1821,6200,5,5,T.Bắc,15.5,4.5,Sổ hồng,72.4,126.4,4.0,0,số 3,Phường 9,Quận Gò Vấp,1,0,0,0,1,1,1,0,1,1,1,0,0,"(4000.0, 10000.0]"
1822,5100,2,3,T.Nam,9.5,5.7,Sổ hồng,54.2,108.4,3.0,0,tân mỹ,Phường Tân Thuận Tây,Quận 7,1,0,0,0,1,1,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
1823,8500,2,2,Đ.Nam,7.85,4.0,Sổ hồng,30.2,102.1,4.2,0,phan ngữ,Phường Đa Kao,Quận 1,2,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
1824,12500,2,1,Đông,18.2,3.23,Sổ hồng,64.5,102.5,8.0,0,thành thái,Phường 14,Quận 10,1,0,0,0,1,1,1,1,1,1,1,0,0,"(10000.0, 20000.0]"
1825,4200,2,2,Bắc,10.18,3.95,Sổ hồng,40.2,72.5,2.93,0,nguyễn văn khối,Phường 11,Quận Gò Vấp,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1826,6500,3,2,Đ.Bắc,10.0,3.0,Sổ hồng,30.0,90.0,6.0,0,phạm ngũ lão,Phường Phạm Ngũ Lão,Quận 1,2,0,0,0,1,1,1,0,1,1,1,0,0,"(4000.0, 10000.0]"
1828,12500,4,7,T.Nam,5.1,12.1,Sổ đỏ,61.7,202.0,8.0,0,đinh tiên hoàng,Phường Đa Kao,Quận 1,3,1,0,0,1,1,0,1,1,1,1,0,0,"(10000.0, 20000.0]"
1829,2700,2,2,Đ.Bắc,10.78,3.44,Sổ hồng,36.3,31.6,2.6,0,âu dương lân,Phường 3,Quận 8,1,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
1831,1200,1,2,Đ.Nam,5.44,2.34,Sổ hồng,11.4,17.6,2.0,0,lưu hữu phước,Phường 15,Quận 8,1,0,0,0,1,1,0,0,0,0,0,0,0,"(900.0, 4000.0]"
1832,13500,2,3,Nam,25.55,4.0,Sổ hồng,97.9,167.0,6.0,0,nguyễn kiệm,Phường 3,Quận Gò Vấp,1,0,0,0,1,1,0,1,0,0,0,0,0,"(10000.0, 20000.0]"
1833,3200,2,2,Tây,7.01,5.57,Sổ hồng,31.3,62.6,3.0,0,lê đức thọ,Phường 13,Quận Gò Vấp,1,0,0,0,1,1,0,1,0,0,0,0,0,"(900.0, 4000.0]"
1834,6900,3,3,Đ.Bắc,16.1,4.0,Sổ hồng,66.4,174.9,8.0,0,số 59,Phường 14,Quận Gò Vấp,2,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1835,5900,2,3,Đ.Nam,9.8,4.15,Sổ hồng,32.2,78.9,3.0,0,ba tháng hai,Phường 6,Quận 11,1,0,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1836,4200,2,2,Bắc,17.2,3.5,Sổ hồng,60.2,71.3,30.0,0,số 52,Phường Hiệp Bình Chánh,Quận Thủ Đức,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1837,35000,33,32,Đ.Nam,17.5,11.5,Sổ hồng,186.0,641.9,4.0,0,đinh công tráng,Phường Tân Định,Quận 1,4,1,0,0,1,1,0,1,0,1,0,0,0,"(20000.0, 50000.0]"
1838,5500,2,4,Tây,4.8,5.74,Sổ hồng,38.9,71.5,2.93,0,đặng văn bi,Phường Bình Thọ,Quận Thủ Đức,1,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1839,6300,5,4,Đông,13.73,5.0,Sổ hồng,59.8,211.7,5.26,0,hương lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,2,1,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1840,7000,4,5,T.Nam,16.97,4.0,Sổ hồng,67.8,185.0,5.0,0,số 21,Phường Hiệp Bình Chánh,Quận Thủ Đức,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1842,5700,2,2,Bắc,1.0,2.0,Sổ hồng,12.9,3.6,5.0,0,huỳnh thiện lộc,Phường Hòa Thạnh,Quận Tân Phú,2,0,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1843,12000,2,5,Đ.Bắc,17.0,3.31,Sổ hồng,52.7,108.5,6.0,0,điện biên phủ,Phường 4,Quận 3,1,1,0,0,1,1,0,1,0,1,0,0,0,"(10000.0, 20000.0]"
1844,4800,5,4,T.Nam,17.08,4.0,Sổ hồng,68.2,172.2,19.0,1,võ văn vân,Phường Tân Tạo,Quận Bình Tân,2,1,0,0,1,1,0,0,0,0,0,0,0,"(4000.0, 10000.0]"
1845,3800,3,2,Đông,8.0,4.0,Sổ hồng,32.0,114.6,4.0,0,số 4,Phường Bình Hưng Hòa B,Quận Bình Tân,2,1,1,0,1,1,0,0,0,0,0,0,0,"(900.0, 4000.0]"
1846,2100,2,2,Bắc,7.34,3.02,Sổ hồng,22.0,44.0,2.0,0,tùng thiện vương,Phường 13,Quận 8,1,0,0,0,1,1,0,1,0,0,0,0,0,"(900.0, 4000.0]"
1847,17900,4,4,T.Nam,40.0,6.0,Sổ hồng,450.0,170.0,15.0,1,nguyễn văn tạo,Xã Long Thới,Huyện Nhà Bè,1,0,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
1848,8500,2,2,Bắc,16.03,3.35,Sổ hồng,47.1,101.9,5.0,0,điện biên phủ,Phường 17,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1849,14000,5,5,Đ.Bắc,25.0,10.0,Sổ hồng,250.0,294.6,3.0,0,bờ bao tân thắng,Phường Sơn Kỳ,Quận Tân Phú,1,0,0,0,1,0,1,1,1,1,1,0,0,"(10000.0, 20000.0]"
1850,4700,4,4,T.Bắc,14.0,4.0,Sổ hồng,56.0,139.4,5.0,0,huỳnh tấn phát,Thị trấn Nhà Bè,Huyện Nhà Bè,2,0,0,0,1,1,0,0,1,0,1,0,0,"(4000.0, 10000.0]"
1852,13500,7,8,Đ.Bắc,17.5,7.4,Sổ hồng,130.0,421.3,12.0,1,số 9,Phường Hiệp Bình Chánh,Quận Thủ Đức,2,1,1,0,0,1,0,0,0,1,1,0,0,"(10000.0, 20000.0]"
1853,7000,5,4,Đ.Bắc,13.0,6.0,Sổ hồng,63.0,42.2,2.96,0,đào tông nguyên,Xã Phú Xuân,Huyện Nhà Bè,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1854,3600,2,2,Đông,7.54,3.61,Sổ hồng,26.8,163.2,1.45,0,tăng bạt hổ,Phường 11,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
1855,1800,1,2,T.Nam,9.0,3.0,Sổ hồng,27.0,54.0,2.0,0,lưu hữu phước,Phường 15,Quận 8,1,0,0,0,1,1,0,1,0,0,0,0,0,"(900.0, 4000.0]"
1856,5200,4,4,Tây,12.0,5.0,Sổ hồng,60.0,199.3,3.0,0,chiến lược,Phường Tân Tạo,Quận Bình Tân,3,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1857,5400,4,4,Tây,15.63,4.15,Sổ hồng,64.5,140.0,4.3,0,số 10,Phường Hiệp Bình Phước,Quận Thủ Đức,2,0,1,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1858,4000,3,3,Đ.Bắc,11.59,5.5,Sổ hồng,61.6,186.8,1.5,0,số 5,Phường Linh Xuân,Quận Thủ Đức,2,1,0,0,1,1,1,1,1,1,0,0,0,"(900.0, 4000.0]"
1859,9900,4,3,Đ.Bắc,23.55,2.9,Sổ hồng,58.9,169.3,12.0,1,huỳnh tấn phát,Thị trấn Nhà Bè,Huyện Nhà Bè,3,1,0,0,1,1,0,0,1,1,1,0,0,"(4000.0, 10000.0]"
1860,18500,5,4,T.Nam,20.0,10.0,Sổ hồng,187.5,379.6,10.0,1,số 9b,Phường Phước Long B,Quận 9,3,0,0,0,1,1,1,1,1,1,1,0,0,"(10000.0, 20000.0]"
1861,2900,3,2,T.Nam,6.12,2.99,Sổ hồng,18.2,137.4,6.0,1,lý thường kiệt,Phường 7,Quận Gò Vấp,1,0,0,0,1,1,1,0,1,1,1,0,0,"(900.0, 4000.0]"
1862,2400,2,2,T.Bắc,5.7,3.2,Sổ hồng,18.2,48.1,2.5,0,trần xuân soạn,Phường Tân Hưng,Quận 7,1,0,1,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
1863,6800,3,2,Tây,16.35,4.0,Sổ hồng,65.4,101.4,2.5,0,huỳnh tấn phát,Phường Tân Phú,Quận 7,2,1,0,0,1,1,1,1,1,0,1,0,0,"(4000.0, 10000.0]"
1864,2700,1,2,T.Bắc,12.72,2.99,Sổ hồng,36.7,64.6,2.0,0,mễ cốc,Phường 15,Quận 8,1,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
1865,4800,5,5,Đ.Nam,17.19,5.0,Sổ hồng,87.9,123.9,2.0,0,số 4,Phường Linh Tây,Quận Thủ Đức,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1866,4100,2,2,Đông,10.65,3.25,Sổ hồng,24.7,49.4,2.0,0,trường sa,Phường 15,Quận Bình Thạnh,1,0,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1867,5200,4,3,T.Nam,12.7,4.4,Sổ hồng,55.9,170.1,10.0,0,gò cát,Phường Phú Hữu,Quận 9,2,1,0,0,1,1,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
1868,5800,5,5,T.Nam,15.33,4.2,Sổ hồng,64.6,165.9,6.0,0,dương cát lợi,Thị trấn Nhà Bè,Huyện Nhà Bè,2,0,0,0,1,1,0,0,1,1,1,0,0,"(4000.0, 10000.0]"
1869,2700,1,2,T.Bắc,8.4,3.07,Sổ hồng,20.5,30.9,2.4,0,quang trung,Phường 10,Quận Gò Vấp,1,0,0,0,1,1,1,1,1,0,1,0,0,"(900.0, 4000.0]"
1870,6800,3,3,Đông,11.42,4.38,Sổ hồng,46.6,187.3,5.7,0,điện biên phủ,Phường 15,Quận Bình Thạnh,2,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
1871,5200,3,3,T.Nam,9.85,3.05,Sổ hồng,27.9,90.9,5.0,0,lạc long quân,Phường 8,Quận Tân Bình,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1872,10000,3,4,Đ.Bắc,22.0,4.0,Sổ hồng,88.0,239.0,15.0,1,số 3413 phạm thế hiển,Phường 7,Quận 8,2,1,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1873,4200,3,3,Nam,5.83,4.04,Sổ hồng,29.9,67.4,2.0,0,chu văn an,Phường 12,Quận Bình Thạnh,2,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1874,6700,3,4,Tây,11.66,3.84,Sổ hồng,46.6,117.6,5.36,0,bùi đình túy,Phường 12,Quận Bình Thạnh,2,0,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1875,5200,2,3,Đông,12.0,4.03,Sổ hồng,48.3,109.9,5.0,0,lê thúc hoạch,Phường Tân Quý,Quận Tân Phú,1,0,1,0,1,1,0,1,1,1,0,0,0,"(4000.0, 10000.0]"
1877,30000,18,18,T.Bắc,13.34,6.15,Sổ hồng,74.5,345.0,20.0,1,hòa hảo,Phường 5,Quận 10,3,0,1,0,1,1,1,1,1,1,1,1,1,"(20000.0, 50000.0]"
1878,4600,3,5,Bắc,11.93,4.2,Sổ hồng,50.5,357.9,8.0,1,cát lợi,Thị trấn Nhà Bè,Huyện Nhà Bè,2,1,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1879,6300,3,4,Đ.Bắc,11.55,4.1,Sổ hồng,43.2,166.4,4.07,0,lê đức thọ,Phường 16,Quận Gò Vấp,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1880,8200,3,2,Đ.Bắc,11.25,4.1,Sổ hồng,43.5,137.9,3.0,0,lê hồng phong,Phường 2,Quận 5,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1881,18000,3,3,Đ.Nam,13.0,7.3,Sổ hồng,114.3,270.9,2.0,0,pasteur,Phường 8,Quận 3,2,0,0,0,1,1,0,1,1,0,0,0,0,"(10000.0, 20000.0]"
1882,6500,1,2,Đ.Bắc,13.8,3.6,Sổ hồng,56.5,187.9,2.8,0,trần xuân soạn,Phường Tân Thuận Đông,Quận 7,1,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1883,4200,4,4,Tây,14.66,4.03,Sổ hồng,58.1,33.8,2.0,0,lý đạo thành,Phường 16,Quận 8,3,0,1,0,1,1,1,1,1,0,1,0,1,"(4000.0, 10000.0]"
1884,11900,2,2,Đ.Nam,19.8,3.9,Sổ hồng,73.5,169.1,6.0,0,ba vân,Phường 14,Quận Tân Bình,1,1,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
1886,5200,2,3,Đông,16.98,3.08,Sổ hồng,53.3,106.0,6.0,0,hưng phú,Phường 8,Quận 8,1,0,0,0,1,1,0,1,1,0,0,0,0,"(4000.0, 10000.0]"
1887,6600,2,3,Đ.Bắc,12.87,5.3,Sổ hồng,51.5,97.2,3.5,0,phạm văn hai,Phường 5,Quận Tân Bình,1,0,1,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
1888,7100,2,4,Đ.Bắc,19.42,4.53,Sổ hồng,88.1,243.5,4.8,0,trường chinh,Phường Tân Thới Nhất,Quận 12,2,1,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1889,3200,1,1,T.Bắc,4.04,2.85,Sổ hồng,18.4,36.8,4.0,0,cao thắng,Phường 5,Quận 3,1,0,0,0,0,0,0,0,0,0,0,0,0,"(900.0, 4000.0]"
1890,12300,3,4,Bắc,18.4,4.01,Sổ hồng,73.0,223.3,15.0,1,số 32,Phường 10,Quận 6,2,1,0,0,1,0,1,0,1,1,1,0,0,"(10000.0, 20000.0]"
1892,8800,4,3,Đ.Bắc,10.5,4.2,Sổ hồng,42.3,137.5,40.0,1,ba tháng hai,Phường 12,Quận 11,2,1,1,0,1,1,0,1,1,0,0,0,0,"(4000.0, 10000.0]"
1893,13800,5,4,Đ.Nam,20.12,4.2,Sổ hồng,80.5,240.0,4.0,0,hoàng hoa thám,Phường 5,Quận Bình Thạnh,3,0,0,0,1,1,0,1,1,1,1,0,0,"(10000.0, 20000.0]"
1894,6200,4,4,Đ.Bắc,10.6,3.4,Sổ hồng,36.0,111.4,3.0,0,lò siêu,Phường 16,Quận 11,1,1,1,0,1,1,0,1,1,1,0,0,0,"(4000.0, 10000.0]"
1896,36000,5,4,Tây,26.4,8.25,Sổ hồng,160.0,239.8,8.0,0,lam sơn,Phường 2,Quận Tân Bình,2,1,0,0,1,1,1,1,0,0,0,0,0,"(20000.0, 50000.0]"
1902,18000,2,3,Nam,29.43,6.1,Sổ hồng,231.2,232.5,7.0,0,xô viết nghệ tĩnh,Phường 26,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
1903,2900,1,1,T.Nam,10.2,2.15,Sổ hồng,21.2,55.9,1.4,0,hoà bình,Phường 5,Quận 11,1,0,0,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
1904,6000,12,12,T.Bắc,13.97,6.1,Sổ hồng,117.7,200.0,3.5,0,làng tăng phú,Phường Tăng Nhơn Phú A,Quận 9,1,0,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1905,3600,3,3,Đ.Bắc,12.07,5.13,Sổ hồng,55.7,60.9,2.0,0,hưng phú,Phường 9,Quận 8,1,0,0,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
1906,15200,6,4,Đông,12.0,6.7,Sổ hồng,80.7,204.6,8.0,1,ngô bệ,Phường 13,Quận Tân Bình,3,1,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
1907,17000,6,6,T.Nam,11.65,4.45,Sổ hồng,53.4,258.5,2.0,0,trần hữu trang,Phường 11,Quận Phú Nhuận,3,1,0,0,1,1,0,1,1,0,1,0,0,"(10000.0, 20000.0]"
1908,18000,4,4,Đ.Bắc,20.0,5.0,Sổ hồng,101.2,215.3,5.0,0,tô hiến thành,Phường 14,Quận 10,3,1,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
1909,13000,5,4,T.Bắc,16.18,5.7,Sổ hồng,57.0,208.8,2.6,0,lê văn sỹ,Phường 13,Quận 3,2,1,1,0,1,1,1,1,1,1,1,0,0,"(10000.0, 20000.0]"
1910,2700,2,2,T.Bắc,8.0,3.0,Sổ hồng,24.0,34.5,3.0,0,quang trung,Phường 10,Quận Gò Vấp,1,0,0,0,1,1,1,0,1,1,0,0,0,"(900.0, 4000.0]"
1911,15000,2,3,Bắc,24.74,3.8,Sổ hồng,78.1,123.0,10.0,1,võ văn ngân,Phường Bình Thọ,Quận Thủ Đức,1,0,1,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
1912,3000,2,2,Bắc,15.05,3.5,Sổ hồng,51.4,102.8,5.0,0,tân thới hiệp 21,Phường Tân Thới Hiệp,Quận 12,1,0,0,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
1913,6200,2,2,Đ.Nam,17.4,4.0,Sổ hồng,69.6,119.6,4.5,0,phạm văn chiêu,Phường 9,Quận Gò Vấp,1,0,0,0,1,1,0,1,1,0,1,0,0,"(4000.0, 10000.0]"
1914,3100,4,3,Tây,11.19,4.3,Sổ hồng,50.3,127.2,8.0,0,tl51,Phường Thạnh Lộc,Quận 12,2,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
1916,3700,2,2,Đ.Bắc,13.38,3.05,Sổ hồng,42.7,73.8,5.0,0,lê văn thọ,Phường 11,Quận Gò Vấp,1,1,0,0,1,0,1,1,1,1,1,0,0,"(900.0, 4000.0]"
1917,5100,3,4,Bắc,11.8,8.03,Sổ hồng,43.5,140.4,3.02,0,đỗ xuân hợp,Phường Phước Long B,Quận 9,2,1,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
1918,2400,2,2,T.Nam,7.89,3.52,Sổ hồng,23.0,24.2,4.5,0,lưu hữu phước,Phường 15,Quận 8,1,0,1,0,1,1,0,0,0,0,0,0,0,"(900.0, 4000.0]"
1920,20500,4,4,Đ.Nam,19.7,10.0,Sổ hồng,200.5,215.3,8.0,0,lê đức thọ,Phường 15,Quận Gò Vấp,1,0,0,0,1,1,1,1,1,1,1,1,1,"(20000.0, 50000.0]"
1921,3400,3,2,Đ.Nam,8.19,4.23,Sổ hồng,30.9,80.8,1.61,0,thông tây hội,Phường 10,Quận Gò Vấp,2,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
1922,22500,8,6,Nam,18.0,8.0,Khác,144.0,467.1,10.0,1,số 4,Xã Bình Hưng,Huyện Bình Chánh,2,0,0,0,1,1,1,1,1,1,1,1,1,"(20000.0, 50000.0]"
1924,4100,3,4,T.Bắc,12.8,3.45,Sổ hồng,39.4,94.6,2.0,0,tôn thất thuyết,Phường 3,Quận 4,1,0,1,0,1,1,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
1925,6800,5,4,Đ.Nam,14.7,4.0,Sổ hồng,58.9,215.2,6.0,0,số 44,Phường 14,Quận Gò Vấp,2,1,1,0,1,1,1,0,0,0,0,0,0,"(4000.0, 10000.0]"
1928,6200,2,2,T.Bắc,16.63,3.64,Sổ hồng,59.9,140.6,8.0,1,nguyễn tất thành,Phường 13,Quận 4,1,0,0,0,1,1,1,1,1,0,1,0,0,"(4000.0, 10000.0]"
1929,6500,4,6,T.Nam,11.88,5.76,Sổ hồng,67.3,174.9,10.0,0,số 21,Phường 8,Quận Gò Vấp,2,1,1,0,1,1,1,1,0,0,0,0,0,"(4000.0, 10000.0]"
1930,35000,9,8,Tây,21.88,8.4,Sổ hồng,183.0,627.9,10.0,1,số 3,Phường 11,Quận 6,3,1,0,0,0,0,0,0,0,0,0,0,0,"(20000.0, 50000.0]"
1931,6500,4,4,Nam,12.4,3.05,Sổ hồng,32.1,107.9,2.3,0,trần quang diệu,Phường 14,Quận 3,3,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
1933,7200,3,4,T.Bắc,20.0,5.0,Sổ hồng,78.7,136.7,3.5,0,trần xuân soạn,Phường Tân Hưng,Quận 7,1,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1934,4000,3,3,T.Nam,13.06,3.56,Sổ hồng,39.6,201.0,5.0,0,mễ cốc,Phường 15,Quận 8,2,0,0,0,1,1,0,1,0,1,0,0,0,"(900.0, 4000.0]"
1935,3900,1,2,T.Nam,6.97,5.55,Sổ hồng,41.9,62.8,2.0,0,tôn đản,Phường 4,Quận 4,1,0,0,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
1936,5800,5,4,T.Nam,10.9,4.0,Sổ hồng,42.8,134.1,5.0,0,nguyễn hữu cảnh,Phường 22,Quận Bình Thạnh,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1937,5400,3,3,Đ.Bắc,4.5,5.92,Sổ hồng,26.3,53.9,2.0,0,cô bắc,Phường 1,Quận Phú Nhuận,2,1,1,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1938,5500,3,4,T.Nam,16.0,3.7,Sổ hồng,46.2,147.2,2.0,0,tôn thất thuyết,Phường 15,Quận 4,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
1939,9800,3,2,Đ.Nam,14.6,7.2,Sổ hồng,84.7,43.2,14.0,1,mã lò,Phường Bình Trị Đông A,Quận Bình Tân,1,0,0,0,1,1,0,1,0,1,1,0,0,"(4000.0, 10000.0]"
1940,3400,1,2,Đông,7.1,3.0,Sổ hồng,23.3,45.9,1.7,0,phú thọ,Phường 1,Quận 11,1,0,1,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
1942,12000,2,4,T.Nam,20.0,5.1,Sổ hồng,102.0,197.7,6.0,0,bàu cát,Phường 11,Quận Tân Bình,1,0,0,0,1,1,0,1,0,0,0,0,0,"(10000.0, 20000.0]"
1943,5900,5,4,Đ.Nam,17.05,4.0,Sổ hồng,68.3,197.0,8.0,0,hương lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,2,1,0,0,1,0,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
1944,17800,7,7,Nam,12.8,6.6,Sổ hồng,65.5,303.3,4.0,1,hưng phú,Phường 10,Quận 8,4,1,0,0,1,0,0,0,0,0,0,0,0,"(10000.0, 20000.0]"
1945,5500,3,4,Đ.Bắc,27.19,4.02,Sổ hồng,110.1,131.4,2.5,0,tân liêm,Xã Phong Phú,Huyện Bình Chánh,1,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
1946,7500,2,4,Tây,15.0,6.0,Sổ hồng,90.0,148.2,6.0,1,số 53,Phường Hiệp Bình Chánh,Quận Thủ Đức,1,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
1948,3700,2,2,T.Bắc,10.0,4.03,Sổ hồng,40.3,240.0,2.5,0,hương lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,1,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
1949,2600,2,2,Đ.Bắc,7.09,3.71,Sổ hồng,26.8,26.8,3.0,0,hưng phú,Phường 10,Quận 8,2,0,0,0,1,1,1,0,1,1,0,0,0,"(900.0, 4000.0]"
1950,8000,2,4,Bắc,14.95,3.15,Sổ hồng,45.8,100.7,4.0,0,bạch đằng,Phường 2,Quận Tân Bình,2,0,0,0,1,1,0,0,0,0,0,0,0,"(4000.0, 10000.0]"
1951,12700,6,6,Đ.Nam,28.35,3.25,Sổ hồng,97.4,271.4,10.0,1,bắc hải,Phường 6,Quận Tân Bình,3,0,0,0,1,1,0,0,0,0,0,0,0,"(10000.0, 20000.0]"
